Book_Title,Author,Barcode,Status,User
"Pacific Northwest Storms of December 1-4, 2007 (Technical Council on Lifeline Earthquake Engineering Monograph)","Edited by Teresa Elliot, P.E. and Alex K. Tang, P.E.",2010000000007,Available,nan
Water Resources Engineering,"Ralph A. Wurbs, Wesley P. James",2010000000014,Available,nan
Applied Hydrogeology,C.W. Fetter,2010000000021,Checked Out,Jane Doe
Floods in a Changing Climate,"Slobodan P. Simonovic, Slobodan P. Simonović",2010000000045,Available,nan
Floods in a Changing Climate,Giuliano Di Baldassarre,2010000000052,Available,nan
Floods in a Changing Climate,"P. P. Mujumdar, D. Nagesh Kumar",2010000000069,Available,nan
Applied Hydrogeology (4th Edition),C.W. Fetter Jr.,2010000000076,Available,nan
"Environmental Hydrology, Second Edition","Andy D. Ward, Stanley W. Trimble",2010000000083,Available,nan
Applied Hydrogeology,"Charles W. Fetter, C. W. Fetter",2010000000090,Available,nan
Hydrogeology Laboratory Manual (2nd Edition),"Keenan Lee, Charles W. Fetter Jr., John E. McCray",2010000000106,Available,nan
Scour Technology (McGraw-Hill Civil Engineering),George W. Annandale,2010000000113,Available,nan
Compressible Fluid Flow,"P. H. Oosthuizen, William E. Carscallen",2010000000120,Available,nan
Open Channel Hydraulics,Terry W. Sturm,2010000000137,Available,nan
"Grouting and Ground Treatment: Proceedings of the Third International Conference, February 10-12, 2003, New Orleans, Louisiana (Geotechnical Special Publication)","American Society of Civil Engineers Geo-Institute, Deep Foundations Institute, Larry Johnsen, Donald A. Bruce, Michael J. Byle",2010000000144,Available,nan
Rock Fractures and Fluid Flow: Contemporary Understanding and Applications,"Committee on Fracture Characterization, National Research Council",2010000000151,Available,nan
Construction Dispute Review Board Manual,"A. A. Mathews, Robert J. Smith, Paul E. Sperry, Robert M. Matyas",2010000000168,Available,nan
Roller-Compacted Concrete Dams,"Kenneth D. Hansen, William G. Reinhardt",2010000000175,Available,nan
"Webster's New College Dictionary, Third Edition",Editors of Webster's New Dictionaries,2010000000182,Available,nan
The Fifth Discipline Fieldbook: Strategies and Tools for Building a Learning Organization,Peter M. Senge,2010000000199,Available,nan
Standard Handbook of Engineering Calculations,Tyler G. Hicks (Editor),2010000000205,Available,nan
"Calculus: Graphical, Numerical, and Algebraic","Franklin Demana, Bert K. Waits, Daniel Kennedy, Ross L. Finney",2010000000212,Available,nan
The Roget's thesaurus in dictionary form,Norman Lewis,2010000000229,Available,nan
Geotechnical Baseline Reports for Underground Construction: Guidelines and Practices,Randall J. Essex,2010000000236,Available,nan
Roadside Geology of Colorado (Roadside Geology Series),Halka Chronic,2010000000243,Available,nan
Man-Made Lowlands: History of Water Management and Land Reclamation in the Netherlands,,2010000000250,Available,nan
De Bosatlas van Nederland Waterland,"by Henk Leenaers, Henk Donkers",2010000000267,Available,nan
Lock Gates and Other Closures in Hydraulic Projects,"Ryszard Daniel, Tim Paulus",2010000000274,Available,nan
Elementary Surveying,"Paul R. Wolf, Russell C. Brinker",2010000000281,Available,nan
The International Levee Handbook,Construction Industry Research and Information Association Staff (Contribution by),2010000000298,Available,nan
